question,E,P,genes,corroborated,clusters_used
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,2.0,0.8,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,3.0,0.3,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,3.0,0.4,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,3.0,0.5,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,3.0,0.6,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,3.0,0.8,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,5.0,0.3,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,5.0,0.4,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,5.0,0.5,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,5.0,0.6,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,5.0,0.8,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.25,0.3,150,38,37
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.25,0.4,150,38,37
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.25,0.5,35,9,9
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.25,0.6,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.25,0.8,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.5,0.3,35,9,9
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.5,0.4,35,9,9
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.5,0.5,35,9,9
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.5,0.6,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",1.5,0.8,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",2.0,0.3,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",2.0,0.4,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",2.0,0.5,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",2.0,0.6,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",2.0,0.8,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",3.0,0.3,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",3.0,0.4,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",3.0,0.5,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",3.0,0.6,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",3.0,0.8,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",5.0,0.3,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",5.0,0.4,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",5.0,0.5,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",5.0,0.6,0,0,0
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",5.0,0.8,0,0,0
